X,Y,U,V,rho
1.273564276444284538e+01,8.795641236386057216e+00,-1.759000000000000008e-01,8.776300000000000212e-01,0.000000000000000000e+00
1.273564276444284538e+01,1.231389773094048046e+01,8.777150000000000230e-01,-2.067505000000000037e-01,0.000000000000000000e+00
1.273564276444284538e+01,1.583215422549490192e+01,-9.547200000000000131e-01,-4.844200000000009609e-02,0.000000000000000000e+00
1.273564276444284538e+01,1.935041072004932516e+01,8.344999999999998253e-02,1.817350000000000076e-01,0.000000000000000000e+00
1.273564276444284538e+01,2.286866721460374663e+01,-2.625700000000000811e-01,-8.277299999999998548e-01,0.000000000000000000e+00
1.273564276444284538e+01,2.638692370915817165e+01,1.441199999999999946e-02,8.288349999999999884e-01,0.000000000000000000e+00
1.273564276444284538e+01,2.990518020371259311e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,3.342343669826701813e+01,-4.091949999999999754e-01,3.308850000000000402e-01,0.000000000000000000e+00
1.273564276444284538e+01,3.694169319282143960e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,4.045994968737586106e+01,-4.338250000000000162e-01,3.377900000000000347e-01,0.000000000000000000e+00
1.273564276444284538e+01,4.397820618193028253e+01,-8.736699999999998356e-01,-3.007000000000000228e-01,0.000000000000000000e+00
1.273564276444284538e+01,4.749646267648471110e+01,3.507000000000000117e-01,7.915849999999999831e-01,0.000000000000000000e+00
1.273564276444284538e+01,5.101471917103913256e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,5.453297566559355403e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,5.805123216014797549e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,6.156948865470239696e+01,-3.993399999999999728e-01,3.171249999999999902e-01,0.000000000000000000e+00
1.273564276444284538e+01,6.508774514925681842e+01,-8.912099999999998357e-01,-4.060300000000005571e-02,0.000000000000000000e+00
1.273564276444284538e+01,6.860600164381123989e+01,-4.103649999999999798e-01,5.440679999999999961e-01,0.000000000000000000e+00
1.273564276444284538e+01,7.212425813836566135e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,7.564251463292009703e+01,-4.251099999999999879e-01,3.661349999999999882e-01,0.000000000000000000e+00
1.273564276444284538e+01,7.916077112747451849e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,8.267902762202893996e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,8.619728411658336142e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,8.971554061113778289e+01,-3.805299999999999794e-01,2.908849999999999492e-01,0.000000000000000000e+00
1.273564276444284538e+01,9.323379710569220435e+01,-8.521300000000000541e-01,-3.672000000000000264e-01,0.000000000000000000e+00
1.273564276444284538e+01,9.675205360024662582e+01,3.806800000000000184e-01,7.910449999999999982e-01,0.000000000000000000e+00
1.273564276444284538e+01,1.002703100948010473e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,1.037885665893554688e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.455502030222039522e+01,3.518256494554422797e+00,4.389500000000000068e-01,-8.966799999999998105e-01,0.000000000000000000e+00
1.455502030222039522e+01,7.036512989108845595e+00,-4.474254999999999760e-01,2.231149999999999523e-01,0.000000000000000000e+00
